comment_text,sentiment,emotion
Expected more from this Sony TV but disappointed long term use la problem varuma nu bayam totally worth the price,Negative,sad
This HP mobile performance is terrible,Negative,anger
Heating issue in this LG mobile makes me angry not satisfied with this device,Negative,anger
Display clarity of this Dell mobile is fantastic,Positive,joy
Totally in love with this HP laptop display konjam disappointed build quality konjam improve panna nalla irukum totally worth the price,Positive,love
Not sure if this Apple TV will last long,Negative,fear
Worst experience with this Redmi TV very disappointed,Negative,anger
I am worried about long term performance of this Sony TV,Negative,fear
OnePlus laptop performance is amazing and super smooth seriously impressed,Positive,joy
Build quality feels cheap in this Dell mobile long term use la problem varuma nu bayam,Negative,sad
This Lenovo mobile did not meet my expectations not satisfied with this device,Negative,sad
your hair is looking great bud!,Positive,joy
Scared about overheating problem in this Dell TV design super ah iruku battery backup romba nalla iruku not satisfied with this device,Negative,fear
I feel sad about the camera performance of this Samsung TV battery backup romba nalla iruku,Negative,sad
This Redmi TV is my favorite device now battery backup romba nalla iruku totally worth the price camera performance sema,Positive,love
"for local ai, users that run larger models are a small percentage. for apple intelligence or anything fast responding, what we need are small models, and everyone will be “using” it because native system feature would use it. so the who is going to need it question seems a bit odd, since small ai features are most likely built in with many apps and not something only tech industry users would actively find and download the small models for experiments.",Positive,joy
Expected more from this Lenovo laptop but disappointed long term use la problem varuma nu bayam design super ah iruku,Negative,sad
pro tips: 1. learn basic bash commands 2. root level directories 3. install homebrew (basically a more flexible app store) enjoy the best of both apple hardware and linux flexibility,Positive,joy
Battery drains fast in this LG laptop waste of money,Negative,anger
Scared about overheating problem in this OnePlus mobile,Negative,fear
Risky purchase decision choosing this Samsung laptop,Negative,fear
Scared about overheating problem in this Apple TV long term use la problem varuma nu bayam totally worth the price seriously impressed,Negative,fear
Battery drains fast in this Sony TV waste of money,Negative,anger
I am really happy with this LG laptop camera quality,Positive,joy
Highly satisfied and love using this Dell TV romba happy with this design super ah iruku build quality konjam improve panna nalla irukum,Positive,love
I feel sad about the camera performance of this Lenovo TV totally worth the price battery backup romba nalla iruku,Negative,sad
OnePlus TV performance is amazing and super smooth,Positive,joy
solladha visiyangal worst processor bezels really worst ip 67 finnaly.. software pathi ivalo pesa onnum illa but pesirukar cause petti varanum la konjam nallave brand kaga muttu koduthu mazhupi pesirukar. camera performance sema,Negative,anger
Display clarity of this HP laptop is fantastic,Positive,joy
"to be honest, there isn't much difference from the macbook pro m4. the fact that only the processor has changed doesn't really make a difference. the m5 pro base model should have started with at least a 12-19 core cpu, 1tb ssd, wi-fi 7, 160hz refresh rate and 32gb ram. there's no point in upgrading from the m2, m3 or m4 at this point. however, macbook air has significant overheating and throttling issues.",Negative,anger
Expected more from this Samsung TV but disappointed long term use la problem varuma nu bayam battery backup romba nalla iruku design super ah iruku,Negative,sad
Scared about overheating problem in this Sony TV seriously impressed romba happy with this,Negative,fear
Heating issue in this Apple laptop makes me angry,Negative,anger
"bought an m4 15“ 2 days ago. the performance is just incredible. i had an m1 13“ pro with 8gb. it was great, but the m4 with 16 gb is just in an league of its own haha",Positive,joy
Scared about overheating problem in this Lenovo TV romba happy with this,Negative,fear
Concerned about durability of this Apple laptop,Negative,fear
This Lenovo laptop did not meet my expectations seriously impressed design super ah iruku,Negative,sad
note series oru kalathula supera irunthichu hmm,Positive,joy
Totally in love with this HP laptop display konjam disappointed build quality konjam improve panna nalla irukum,Positive,love
i went from an m1 macbook air to the m5 macbook pro. i'm using davinci resolve a lot and i did see a difference with the ai functions. very happy overall battery backup romba nalla iruku,Neutral,joy
Not sure if this HP laptop will last long design super ah iruku,Negative,fear
Concerned about durability of this Apple laptop konjam disappointed konjam disappointed,Negative,fear
Build quality feels cheap in this Dell mobile long term use la problem varuma nu bayam not satisfied with this device,Negative,sad
Scared about overheating problem in this Sony laptop,Negative,fear
Love the premium feel of this Dell mobile,Positive,love
Battery drains fast in this HP mobile waste of money battery backup romba nalla iruku,Negative,anger
Very poor build quality from OnePlus laptop,Negative,anger
I am really happy with this HP laptop camera quality,Positive,joy
Build quality feels cheap in this Lenovo laptop,Negative,sad
This Apple mobile did not meet my expectations,Negative,sad
Scared about overheating problem in this Dell laptop camera performance sema,Negative,fear
Highly satisfied and love using this Apple mobile,Positive,love
Risky purchase decision choosing this Dell laptop camera performance sema konjam disappointed,Negative,fear
i’m still on m1 and pretty happy with it except for storage lol,Neutral,joy
#supertt this phone not middle class,Positive,joy
note 15 pro nan vaangunen.. most disappointed.. hang ellam aagudhu.. 😢 300 budjet ku waste..,Negative,sad
tbh i bought the base m5 pro just because i wanted the 14inches plus i get headroom in cooling & performance more. i come from windows/linux just wanted a good small powerful laptop with an amazing battery life,Positive,joy
I am really happy with this Lenovo laptop camera quality,Positive,joy
This Redmi mobile did not meet my expectations,Negative,sad
Samsung mobile performance is amazing and super smooth,Positive,joy
Sound quality of this Lenovo mobile is not good not satisfied with this device long term use la problem varuma nu bayam,Negative,sad
"i have m2 air. and it works really well, my only issue is that it only supports 1 screen! romba happy with this not satisfied with this device",Negative,anger
Concerned about durability of this Sony mobile totally worth the price battery backup romba nalla iruku,Negative,fear
Heating issue in this OnePlus TV makes me angry konjam disappointed,Negative,anger
boring😂 you want to fall in love with it or use it as a tool?,Positive,love
#supertt தயவு செய்து ஆவாரா ஆவாராவ முடிச்சு விடுங்க பா😂😂,Positive,joy
Concerned about durability of this Apple laptop konjam disappointed camera performance sema,Negative,fear
Heating issue in this Dell TV makes me angry,Negative,anger
pls dont buy this phone. i ve been using this phone for 1.5 yrs. 1. poor camera quality in this price. 2. display had broken and i had replaced (fell from just 1.5 feet height) 3. night vision camera also worst not satisfied with this device,Negative,anger
This HP TV did not meet my expectations totally worth the price,Negative,sad
motherboard problem varum nu sethu sollunga build quality konjam improve panna nalla irukum totally worth the price,Negative,anger
confuse venam ithu worst launch than long term use la problem varuma nu bayam,Negative,anger
no good camera note 15 pro 5g front and back camera..low quality disappoint ed fuck..,Positive,joy
Battery drains fast in this Samsung laptop waste of money,Negative,anger
use panna naan soldren bro naane avasara pattu launch aana annaikke vaangiitten fingerprint lock slow ah irukku paakka look and usage kaaga mattum ithu ok bro 😢 vera performance nu ethir paatha charge laa thaaru maaraa koraiyuthu 😢 vivo la 300mah battery la high performance usage pannaale evening varaikkum last 10% varaikkum use panna mudiyuthu ithu normal usage ke evening varaikkum thaangala camera vum intha price ku kammi thaan 😢 intha price ku vivo oppo realme poco nu poiralaam ithula emi vera pottutten ithu epo mudiyum nu irukku vera phone ah vaanga 😢 daily itha paakka paaka vairu eriyuthu bro yaarum vaangiraathinga failure model maari irukku 🙏🙏,Negative,anger
Totally in love with this LG TV display,Positive,love
"a 36 worst, bad camera battery backup romba nalla iruku",Negative,anger
na intha phone vangi paisa waste pannitte,Negative,sad
Totally in love with this Apple TV display totally worth the price seriously impressed,Positive,love
Expected more from this Redmi laptop but disappointed totally worth the price romba happy with this,Negative,sad
Expected more from this Samsung TV but disappointed long term use la problem varuma nu bayam battery backup romba nalla iruku design super ah iruku konjam disappointed,Negative,sad
This Lenovo mobile exceeded my expectations,Positive,joy
This Redmi TV is my favorite device now camera performance sema not satisfied with this device battery backup romba nalla iruku,Positive,love
Highly satisfied and love using this Samsung laptop romba happy with this build quality konjam improve panna nalla irukum battery backup romba nalla iruku,Positive,love
show the settings for the game benchmarks otherwise this video is useless. romba happy with this camera performance sema,Negative,anger
solladha visiyangal worst processor bezels really worst ip 67 finnaly.. software pathi ivalo pesa onnum illa but pesirukar cause petti varanum la konjam nallave brand kaga muttu koduthu mazhupi pesirukar.,Negative,anger
Not sure if this Apple mobile will last long long term use la problem varuma nu bayam,Negative,fear
Love the premium feel of this Apple laptop,Positive,love
This Dell mobile is my favorite device now totally worth the price,Positive,love
Highly satisfied and love using this LG laptop,Positive,love
This LG mobile performance is terrible,Negative,anger
I feel sad about the camera performance of this Lenovo laptop romba happy with this,Negative,sad
bro . s secure super ah use achi bro .. but ipo athu ilaa . a36 and new samsung mobiles la . please . oru good app lock solunga bro,Positive,joy
Love the premium feel of this Redmi mobile,Positive,love
Risky purchase decision choosing this Apple TV,Negative,fear
This Dell mobile performance is terrible,Negative,anger
Totally in love with this Samsung TV display not satisfied with this device,Positive,love
Expected more from this Samsung TV but disappointed design super ah iruku,Negative,sad
"i think m4 air is best for me. i just entered the details of my 2019 mbp and apple said they will give me upto 170 quid. i might as well keep it then! i won't get a better (spare) laptop for that. i moved to m4 mini recently, but really covet the m4 air in black. however, i think i will wai for a bit and see what the new air is like later on.",Positive,joy
Worst experience with this OnePlus TV very disappointed long term use la problem varuma nu bayam,Negative,anger
I absolutely love this HP laptop design,Positive,love
good to hear from you. how is the video quality & image stabilisation? is this mobile phone close to 60% of the video quality of the iphone 16? most android mobiles are weak in video processing,Positive,joy
iam using redmi note 4😂😂 but still no problem 😈💥💥 seriously impressed,Negative,anger
Very poor build quality from LG laptop konjam disappointed,Negative,anger
Totally in love with this Redmi laptop display,Positive,love
Heating issue in this Sony TV makes me angry konjam disappointed,Negative,anger
nottitu pochu thambi redmi useless phone!! 😅,Negative,anger
Highly satisfied and love using this LG mobile,Positive,love
This Sony laptop is my favorite device now,Positive,love
Not sure if this Sony TV will last long konjam disappointed,Negative,fear
Heating issue in this HP TV makes me angry romba happy with this,Negative,anger
"nice one! thanks, that was helpfull!",Positive,joy
Worst experience with this Lenovo mobile very disappointed,Negative,anger
This Lenovo mobile is my favorite device now,Positive,love
Highly satisfied and love using this Apple laptop battery backup romba nalla iruku,Positive,love
"if that was only true that the charger was available in south africa, which is also only an optional extra. because i am was an asus user, okay it is running in the background, and new to the macbook arena, i decided on a sky blue 13"" macbook air m4, which i got for a christmas present. binge watching and checking if the present i bought my sister for her birthday / christmas / work present was the macbook pro m4 14"" because her old intel macbook pro didn't have the magsafe. i'm finding that i type fast and was literally no adjustment to the typing, but the shortcuts which was my favorite on windows products, but this will be a learning curve, and a challenge to learn it as fast as possible, before i start studying computer science. and don't tell me, being older makes this a problem, i love a challenge and would strive and thrive to better than the children, as life experiences has taught me studying anything, you should want to prove something to yourself and want to learn that field for your betterment. luckily i'm not technologically stinted. the question would be, what will i struggle with on the base m4 air. build quality konjam improve panna nalla irukum build quality konjam improve panna nalla irukum",Positive,love
Risky purchase decision choosing this Apple mobile long term use la problem varuma nu bayam,Negative,fear
Not sure if this OnePlus TV will last long,Negative,fear
Sound quality of this HP mobile is not good battery backup romba nalla iruku,Negative,sad
I feel sad about the camera performance of this Sony laptop design super ah iruku,Negative,sad
This Sony mobile did not meet my expectations build quality konjam improve panna nalla irukum,Negative,sad
I feel sad about the camera performance of this Lenovo TV totally worth the price,Negative,sad
Expected more from this Sony TV but disappointed long term use la problem varuma nu bayam camera performance sema camera performance sema battery backup romba nalla iruku,Negative,sad
I am really happy with this OnePlus laptop camera quality,Positive,joy
Worst experience with this Lenovo mobile very disappointed build quality konjam improve panna nalla irukum,Negative,anger
i moved from windows after life time on it last november to the macbook m4 pro 16 inch and absolutely love it. i.,Positive,love
dislike pressed for the opening goodbye silly act,Positive,joy
Scared about overheating problem in this Redmi TV battery backup romba nalla iruku,Negative,fear
Highly satisfied and love using this Redmi TV camera performance sema,Positive,love
"i'm considering the m5 macbook pro as an upgrade to my m3 macbook pro with the m3 pro chip. i've been plagued with performance issues (spinning beachballs on any action) requiring restarts every day or so and terminal cache clearing. i also have, possibly releated, issues accessing external hds and having them disconnect.",Negative,anger
I am worried about long term performance of this HP laptop,Negative,fear
Love the premium feel of this LG mobile,Positive,love
I am worried about long term performance of this Samsung TV build quality konjam improve panna nalla irukum,Negative,fear
Not sure if this Redmi TV will last long totally worth the price,Negative,fear
mr tamil selvan bro do some creative and info something. restart the tech thalaiva channel to do any special catagory videos like indepth specifications and working data likes because some peoples are watch the product inside what is technology uses and how that is work search and give me the full detailed a specific video. my side i am viewing you and i want to say tell the truth not act like a good person. 😊 seriously impressed,Positive,joy
Totally in love with this OnePlus mobile display konjam disappointed romba happy with this romba happy with this,Positive,love
Concerned about durability of this HP mobile,Negative,fear
i’ll be waiting for the m5pro (at least) before replacing my m2 pro mbp - my work m1 pro still crushes the new core ultra 7 laptops others are being issued on the same tasks. hopefully we’ll get a chassis change soon as well.,Negative,anger
"i've had the mb pro late 2016 16 inch and the screen has just had screen issue about a month ago, i believe it to be a flex gate issue. what should i do ?",Negative,anger
i purchased the midnight 15 inch model. i love it! romba happy with this camera performance sema,Positive,love
Not sure if this LG laptop will last long,Negative,fear
Heating issue in this Dell laptop makes me angry,Negative,anger
Battery drains fast in this Lenovo laptop waste of money,Negative,anger
This Sony TV performance is terrible konjam disappointed design super ah iruku,Negative,anger
Battery drains fast in this Redmi laptop waste of money,Negative,anger
Build quality feels cheap in this HP laptop camera performance sema totally worth the price,Negative,sad
I absolutely love this Redmi TV design,Positive,love
Sound quality of this Apple TV is not good,Negative,sad
This Lenovo TV is my favorite device now build quality konjam improve panna nalla irukum,Positive,love
This Sony TV performance is terrible konjam disappointed,Negative,anger
anna best mobile another brand mobile worst of the mobile that budget,Neutral,anger
Battery drains fast in this Sony mobile waste of money,Negative,anger
Highly satisfied and love using this Samsung TV konjam disappointed,Positive,love
Scared about overheating problem in this Dell TV long term use la problem varuma nu bayam romba happy with this,Negative,fear
"doesn't seem anything special. apple need to stop worrying about their stock price and start making best in category products again. a basic led display, and you are excited to have multiple tabs open? this is pretty ordinary product. camera performance sema",Positive,joy
Battery backup in this Apple TV is excellent,Positive,joy
"doesn't seem anything special. apple need to stop worrying about their stock price and start making best in category products again. a basic led display, and you are excited to have multiple tabs open? this is pretty ordinary product.",Positive,joy
"1:poor processor for this price 2:no charger and usb 2.0 3:average plastic design and only ip67 4:not for gaming 5:software is waste for 6 years bcoz with this phone we cant push more than 3-4 years 6:big bezel , no hdr suppoort in netflix 7:dont but , just an promotion !",Negative,sad
Highly satisfied and love using this HP mobile seriously impressed,Positive,love
Expected more from this Samsung TV but disappointed long term use la problem varuma nu bayam,Negative,sad
This OnePlus laptop exceeded my expectations,Positive,joy
Heating issue in this OnePlus TV makes me angry,Negative,anger
This Lenovo mobile did not meet my expectations not satisfied with this device camera performance sema,Negative,sad
I feel sad about the camera performance of this OnePlus mobile battery backup romba nalla iruku,Negative,sad
"ungala naan ennamo nenachen bro , aana neenga oru dubakooru nu proof pannitinga 1. iqoo neo 10r , poco x7 pro, poco f7 pro , mi 14pro+, rm 14pro+ , oppo 13pro all these mobiles are better than samsung a56 and a36 , insense of both price , processor and battery camera 2. a36 mokka mobile , no charger provided , low ip rating 3. battery no s/i tech , poor camera performance ippadi ethuvume illatha mobile ku ivalavu build up thara , kaasu thantha samsung ** kooda thimpiya 😂😂 design super ah iruku",Negative,sad
naan samsung galaxy m33 5g use panniran 1.5year but lag pansam illa build quality konjam improve panna nalla irukum design super ah iruku,Negative,anger
good day! available na ba ang hyper os 3 sa redmi note 15 pro 5g?,Positive,joy
Love the premium feel of this Redmi TV konjam disappointed,Positive,love
Not sure if this HP TV will last long,Negative,fear
mi note 5 pro 8 years good working,Positive,joy
Risky purchase decision choosing this Dell laptop camera performance sema,Negative,fear
Very poor build quality from Samsung mobile camera performance sema,Negative,anger
This Samsung mobile performance is terrible konjam disappointed,Negative,anger
This LG laptop exceeded my expectations,Positive,joy
Concerned about durability of this Samsung laptop not satisfied with this device,Negative,fear
Scared about overheating problem in this Lenovo mobile camera performance sema,Negative,fear
Expected more from this Dell mobile but disappointed camera performance sema totally worth the price,Negative,sad
Totally in love with this OnePlus mobile display seriously impressed,Positive,love
Scared about overheating problem in this Apple laptop,Negative,fear
Highly satisfied and love using this Samsung TV,Positive,love
"itha pakamalae irrundhurkalam anna display old, camera cheating, single speaker keliyudhu, processor iyoo..nu irrkku. ya na ippadi",Negative,anger
don't buy samsung heating 😢 totally worth the price,Negative,anger
Scared about overheating problem in this Lenovo mobile romba happy with this,Negative,fear
"the mba 24gb version is really affordable and good enough for most stuff.. but the new chip is neat to be fair. probably gonna go with mba and dream of giving it to imaginary future intern 😂if you can wait (which i 100% can't unfortunately), i'd wait for m5 pro or mba m5.",Positive,joy
This Samsung laptop is my favorite device now romba happy with this,Positive,love
Very poor build quality from Samsung laptop battery backup romba nalla iruku totally worth the price konjam disappointed battery backup romba nalla iruku camera performance sema,Negative,anger
"itha pakamalae irrundhurkalam anna display old, camera cheating, single speaker keliyudhu, processor iyoo..nu irrkku. ya na ippadi long term use la problem varuma nu bayam totally worth the price",Negative,anger
Battery backup in this Dell TV is excellent,Positive,joy
Risky purchase decision choosing this Apple laptop build quality konjam improve panna nalla irukum build quality konjam improve panna nalla irukum konjam disappointed,Negative,fear
Worst experience with this Redmi TV very disappointed konjam disappointed,Negative,anger
Totally in love with this Dell mobile display build quality konjam improve panna nalla irukum,Positive,love
I am really happy with this Apple TV camera quality,Positive,joy
This Samsung mobile performance is terrible,Negative,anger
#supertt #vaalga ❤ tamil tech ❤,Positive,joy
OnePlus mobile performance is amazing and super smooth,Positive,joy
This LG TV did not meet my expectations,Negative,sad
This HP mobile did not meet my expectations,Negative,sad
Expected more from this Lenovo laptop but disappointed,Negative,sad
Risky purchase decision choosing this Redmi laptop totally worth the price,Negative,fear
Love the premium feel of this Lenovo laptop,Positive,love
Worst experience with this Sony TV very disappointed build quality konjam improve panna nalla irukum,Negative,anger
I absolutely love this Apple mobile design,Positive,love
I feel sad about the camera performance of this Dell TV build quality konjam improve panna nalla irukum,Negative,sad
I absolutely love this OnePlus mobile design,Positive,love
bro i have a36 but i have network problem on jio 5g,Negative,anger
Very poor build quality from Samsung laptop battery backup romba nalla iruku totally worth the price konjam disappointed,Negative,anger
Very poor build quality from Sony laptop,Negative,anger
old fashion bro indha phone ellam and vaangi 6 or 7 months la bayangarama lag aagum even youtube kuda use panna mudiyadhu samsung mela nambikkaye pochi bro,Negative,anger
This LG laptop is my favorite device now,Positive,love
Sound quality of this Apple laptop is not good totally worth the price,Negative,sad
I am worried about long term performance of this Lenovo mobile,Negative,fear
Worst experience with this Lenovo TV very disappointed seriously impressed,Negative,anger
Battery drains fast in this Samsung mobile waste of money,Negative,anger
Worst experience with this HP TV very disappointed,Negative,anger
Sound quality of this Lenovo mobile is not good seriously impressed,Negative,sad
Highly satisfied and love using this Redmi laptop not satisfied with this device konjam disappointed,Positive,love
I absolutely love this Redmi laptop design seriously impressed,Positive,love
I am worried about long term performance of this LG laptop,Negative,fear
I am really happy with this OnePlus mobile camera quality,Positive,joy
This Lenovo mobile did not meet my expectations design super ah iruku build quality konjam improve panna nalla irukum,Negative,sad
im waiting october month mobiles🤩🤩nammakaana offers appu varum guys money save pannunga nalla mobile oct month vangalam namma yelarum dont waste present money design super ah iruku seriously impressed seriously impressed,Negative,sad
Risky purchase decision choosing this Samsung TV build quality konjam improve panna nalla irukum,Negative,fear
Risky purchase decision choosing this Redmi mobile camera performance sema,Negative,fear
very average mobile bro😢 #supertt,Positive,joy
just upgraded from the m2 air to the m4 today. main reason is because my m2 had 8gb of ram and it would slow down when i'm editing videos or pics. not often but it was still noticeable. i had 512gb of storage as well. but now i have 16gb of ram with the same 512gb so now i should be able to keep the m4 for the next 5 years. design super ah iruku,Negative,anger
ellam ok but correct ah one year la bootloop problem varama irukkuma?,Negative,anger
Concerned about durability of this HP mobile romba happy with this,Negative,fear
This Apple TV exceeded my expectations,Positive,joy
I am worried about long term performance of this Samsung TV,Negative,fear
Expected more from this Sony TV but disappointed long term use la problem varuma nu bayam camera performance sema camera performance sema battery backup romba nalla iruku not satisfied with this device,Negative,sad
"a 36 worst, bad camera",Negative,anger
4400 maha battery vachikkittu onnumae panna mudiyathu waste of money,Negative,sad
Build quality feels cheap in this Lenovo laptop romba happy with this camera performance sema,Negative,sad
my m1 macbook pro still runs very fast and smooth,Positive,joy
Highly satisfied and love using this Sony mobile,Positive,love
This Apple mobile is my favorite device now,Positive,love
Scared about overheating problem in this OnePlus TV konjam disappointed,Negative,fear
keep that are in mind are disadvantage right.. konjam disappointed,Neutral,sad
This Sony mobile is my favorite device now,Positive,love
Build quality feels cheap in this Lenovo TV design super ah iruku,Negative,sad
Concerned about durability of this OnePlus TV battery backup romba nalla iruku,Negative,fear
Totally in love with this Dell TV display camera performance sema,Positive,love
Scared about overheating problem in this HP TV,Negative,fear
Battery backup in this Dell laptop is excellent,Positive,joy
Build quality feels cheap in this Apple TV,Negative,sad
This HP laptop performance is terrible,Negative,anger
Expected more from this Lenovo mobile but disappointed,Negative,sad
a36 or m56? which is best?,Positive,joy
Sony laptop performance is amazing and super smooth,Positive,joy
they will have a problem when the m5 drops into the macbook air. it needs a vapor chamber or a fan,Negative,anger
I am worried about long term performance of this Apple TV build quality konjam improve panna nalla irukum,Negative,fear
I am worried about long term performance of this Redmi mobile long term use la problem varuma nu bayam,Negative,fear
I absolutely love this Lenovo TV design,Positive,love
LG mobile performance is amazing and super smooth,Positive,joy
Totally in love with this HP laptop display konjam disappointed konjam disappointed,Positive,love
i went from an m1 macbook air to the m5 macbook pro. i'm using davinci resolve a lot and i did see a difference with the ai functions. very happy overall,Neutral,joy
I absolutely love this Lenovo mobile design,Positive,love
Concerned about durability of this LG mobile,Negative,fear
This Samsung TV did not meet my expectations,Negative,sad
Expected more from this Lenovo laptop but disappointed not satisfied with this device,Negative,sad
Build quality feels cheap in this HP laptop camera performance sema,Negative,sad
Build quality feels cheap in this HP mobile battery backup romba nalla iruku,Negative,sad
#supertt samsung bugdet phone waste bro 😒❤❤ romba happy with this,Neutral,sad
This Sony TV did not meet my expectations,Negative,sad
This Samsung TV exceeded my expectations,Positive,joy
bro best neckband video podunga,Positive,joy
Worst experience with this Sony mobile very disappointed,Negative,anger
show the settings for the game benchmarks otherwise this video is useless. romba happy with this,Negative,anger
"the cpu is plenty fast enough, so excited to finally see a focus on improving the gpu for 3d work. can't wait for the max variant.",Positive,joy
Battery backup in this Redmi mobile is excellent,Positive,joy
Battery drains fast in this OnePlus mobile waste of money battery backup romba nalla iruku,Negative,anger
"you are totally correct, i am a developer and even i think about getting an air, because unless you are doing yes local ml or say gaming or other intense gpu and cpu tasks, then the m5 is overkill for most people, not that that is not nice, but it also can be money out the window for a lot of peoples usecases",Positive,joy
garbage mobile 📱 don't review this type of waste mobile 🚫🚫,Negative,sad
"hey! do you think my macbook air m3 8gb ram is still good in 2025 and will last longer? i use it for writing, browsing, and occasional photo editing. what do you think?",Positive,joy
"is this worth buying now, or should i wait for the m5?",Positive,joy
#supertt samsung bugdet phone waste bro 😒❤❤ konjam disappointed,Neutral,sad
Build quality feels cheap in this Lenovo mobile,Negative,sad
This Samsung mobile exceeded my expectations,Positive,joy
This Lenovo laptop is my favorite device now seriously impressed romba happy with this,Positive,love
Sound quality of this Redmi TV is not good design super ah iruku,Negative,sad
"but this mobile phone definitely has heating problem me ,my best friend and many of my friends are using samsung galaxy a36 5g one of the common problem all of my friends also me say is the heating problem ,in just 30mins of gaming,call or video call make them very heat so please consider about this before buying this . other than this samsung is a very good mobile phone for daily use long term use la problem varuma nu bayam",Neutral,joy
"still rocking m1. buying my wife the m1 imac for christmas this year. why pay more? she’s going to watch youtube and write books. i don’t see myself buying anything other than m1 until m6 or m7… and i used to upgrade my phone twice a year for example. i’m a tech head. but it already does everything i need, there is no need to upgrade (m1 ipad pro, m1 mac mini, m1 macbook pro, iphone 16 pro user). love the video!",Positive,love
Very poor build quality from LG laptop battery backup romba nalla iruku romba happy with this camera performance sema,Negative,anger
Expected more from this Sony TV but disappointed long term use la problem varuma nu bayam camera performance sema design super ah iruku,Negative,sad
Not sure if this HP laptop will last long not satisfied with this device,Negative,fear
This Redmi mobile is my favorite device now battery backup romba nalla iruku,Positive,love
I feel sad about the camera performance of this Samsung mobile,Negative,sad
Heating issue in this Redmi laptop makes me angry konjam disappointed,Negative,anger
Scared about overheating problem in this Samsung mobile build quality konjam improve panna nalla irukum,Negative,fear
Expected more from this OnePlus mobile but disappointed,Negative,sad
don't buy samsung heating 😢 totally worth the price seriously impressed,Negative,anger
Highly satisfied and love using this Lenovo laptop,Positive,love
Highly satisfied and love using this Dell mobile build quality konjam improve panna nalla irukum,Positive,love
Totally in love with this Redmi mobile display,Positive,love
I am worried about long term performance of this Redmi laptop,Negative,fear
This Apple mobile exceeded my expectations,Positive,joy
Sound quality of this Samsung mobile is not good,Negative,sad
Display clarity of this Redmi laptop is fantastic,Positive,joy
This Dell TV did not meet my expectations design super ah iruku,Negative,sad
Sound quality of this OnePlus TV is not good design super ah iruku,Negative,sad
i still use the last intel based 13inch macbook pro :) it does start to get slow in certain scenarios and the battery life isn't that good anymore (expected after 5 years of use). i'll wait and see for the next macbook pro's witch are rumored to be oled's. the only thing that doesn't excite me about the oled's will be the price haha,Neutral,joy
"but this mobile phone definitely has heating problem me ,my best friend and many of my friends are using samsung galaxy a36 5g one of the common problem all of my friends also me say is the heating problem ,in just 30mins of gaming,call or video call make them very heat so please consider about this before buying this . other than this samsung is a very good mobile phone for daily use",Neutral,joy
Expected more from this Dell TV but disappointed camera performance sema,Negative,sad
Heating issue in this Apple TV makes me angry,Negative,anger
i bought because of him very worst mobile please don't buy,Negative,anger
Expected more from this Dell laptop but disappointed,Negative,sad
Sound quality of this Samsung laptop is not good,Negative,sad
Battery backup in this Redmi TV is excellent,Positive,joy
This Redmi laptop is my favorite device now,Positive,love
I am really happy with this OnePlus laptop camera quality build quality konjam improve panna nalla irukum,Positive,joy
This Sony mobile exceeded my expectations,Positive,joy
Scared about overheating problem in this Dell TV design super ah iruku,Negative,fear
Redmi TV performance is amazing and super smooth,Positive,joy
This Lenovo laptop did not meet my expectations seriously impressed design super ah iruku romba happy with this,Negative,sad
what is its best alternative ?,Positive,joy
Worst experience with this Samsung TV very disappointed,Negative,anger
Scared about overheating problem in this Dell mobile battery backup romba nalla iruku,Negative,fear
Not sure if this Lenovo mobile will last long,Negative,fear
Totally in love with this Apple mobile display seriously impressed konjam disappointed,Positive,love
Not sure if this Sony mobile will last long design super ah iruku,Negative,fear
"great video! love the way you casually grab them, ahah. when do you think m5 air is gonna be released? and do you think it will get some improvements that we already saw in the iphone 17 base model? (like 120hz and better screen?)",Positive,joy
"i think it's excellent that they highlighted the depth of color, but i believe they should give it more attention; it's very important, i think that even more than calibration which is why almost all devices are more or less well calibrated now color depth really makes a difference",Positive,joy
Scared about overheating problem in this Dell TV build quality konjam improve panna nalla irukum totally worth the price totally worth the price,Negative,fear
Battery backup in this HP TV is excellent,Positive,joy
Love the premium feel of this LG mobile design super ah iruku,Positive,love
Display clarity of this HP TV is fantastic,Positive,joy
"i have m2 macbook air and screen and speakears suck, hopefully the macbook pro fix these issues",Negative,anger
Totally in love with this HP laptop display konjam disappointed not satisfied with this device,Positive,love
Very poor build quality from Dell mobile,Negative,anger
I am really happy with this Lenovo TV camera quality,Positive,joy
I am really happy with this Sony mobile camera quality,Positive,joy
This OnePlus laptop performance is terrible romba happy with this,Negative,anger
hi everyone please don't buy samsung mobile because i bought samsung a55 5g 8 months before now black screen issues have 🫥🫥 camera performance sema,Negative,anger
This OnePlus laptop did not meet my expectations,Negative,sad
Very poor build quality from HP mobile,Negative,anger
bro i want arnav in all videos please i'm great fan of arnav❤❤,Positive,joy
Build quality feels cheap in this Redmi mobile not satisfied with this device long term use la problem varuma nu bayam,Negative,sad
Sound quality of this HP mobile is not good battery backup romba nalla iruku design super ah iruku build quality konjam improve panna nalla irukum,Negative,sad
I feel sad about the camera performance of this LG laptop long term use la problem varuma nu bayam,Negative,sad
Scared about overheating problem in this Apple TV long term use la problem varuma nu bayam design super ah iruku,Negative,fear
"to me the air is so good that i don't see a reason to get the pro. sure a miniled and 120hz would be nice but in my country the base pro is basically twice the price of air. even though i'm a sucker for high refresh rate on phones , on laptops the lower refresh rate is not as noticable.",Positive,joy
